09/11/2017 07:39:25
Results for 10 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,sabattini.AhllauHakbar*,30184 (2%),27950,0,2082,48,104,0,0,1,1
2nd,ipdf.Grone*,28567 (2%),25500,740,2057,140,115,15,1,0,1
3rd,ipdf.MiSuperTheo*,28142 (2%),25750,0,2094,79,203,15,0,2,0
4th,itelf.ElPicante*,27949 (2%),25300,740,1707,49,138,15,1,0,0
5th,ipdf.sonrisa*,27896 (2%),26250,0,1475,64,107,0,0,0,0
6th,itelf.Raj31*,27832 (2%),25400,0,2127,102,204,0,0,0,1
7th,ipdf.rodriguito*,27787 (2%),25700,0,1865,80,110,31,0,0,1
8th,sabattini.RoboRot*,27438 (2%),25400,0,1825,47,146,19,0,0,0
9th,itelf.Rebol*,26961 (2%),24900,0,1839,85,137,0,0,0,0
10th,itelf.Suipachenze*,26457 (2%),24600,0,1658,95,102,1,0,1,0
11th,ipdf.CandyRobot*,25834 (2%),23000,740,1963,50,80,0,1,0,0
12th,sabattini.Giane*,25216 (2%),23300,0,1760,45,102,10,0,0,0
13th,ipet260anexo.Roboteitor*,25098 (2%),22450,740,1762,90,55,0,1,0,1
14th,sabattini.HolaJorge*,24648 (2%),22350,0,1986,33,263,16,0,0,1
15th,itelf.Inheriav*,24636 (2%),22700,0,1742,73,116,5,0,0,0
16th,ipdf.MakiuRobot*,24446 (2%),21650,740,1913,28,110,5,1,0,0
17th,ipdf.Kravcho*,24403 (2%),22950,0,1317,37,100,0,0,0,0
18th,ipdf.DASKAVZKCH*,24259 (2%),22400,0,1709,66,83,0,0,0,1
19th,sabattini.Moon*,23348 (2%),21700,0,1478,34,136,0,0,1,0
20th,sabattini.RobotOne*,23024 (2%),21000,0,1830,86,107,0,0,2,0
21st,ipdf.TomiRobot*,22851 (2%),20100,740,1798,57,156,0,1,0,1
22nd,ipdf.leisi*,22687 (2%),20700,0,1793,50,130,15,0,0,0
23rd,sabattini.TheBot*,22594 (2%),20600,0,1808,26,150,10,0,0,0
24th,sabattini.RobotMimi2*,22531 (2%),19700,740,1881,109,101,0,1,1,0
25th,ipdf.R2D2*,22305 (1%),20700,0,1420,52,130,4,0,0,0
26th,ipdf.agustinsita*,22069 (1%),21000,0,992,18,59,0,0,0,0
27th,ipdf.MiRobot*,22019 (1%),20900,0,996,10,113,0,0,0,0
28th,ipet260anexo.SoteloLeandro*,21809 (1%),21200,0,490,6,113,0,0,0,0
29th,ipet260anexo.Jyugo*,21495 (1%),19800,0,1602,77,17,0,0,0,0
30th,ipdf.Xhardez*,21347 (1%),19500,0,1734,62,50,0,0,0,0
31st,itelf.Homero*,21212 (1%),19400,0,1700,72,41,0,0,1,0
32nd,ipdf.MagnumTech*,20995 (1%),19300,0,1577,48,70,0,0,0,1
33rd,sabattini.Negro*,20929 (1%),19250,0,1348,88,227,16,0,0,0
34th,sabattini.Mercury*,20833 (1%),19050,0,1650,56,77,0,0,0,0
35th,ipdf.Siara*,20721 (1%),19500,0,1150,6,61,3,0,0,0
36th,sabattini.Dylan33*,20631 (1%),19100,0,1271,25,205,29,0,0,0
37th,itelf.Picanbot*,20313 (1%),18950,0,1242,32,89,0,0,0,0
38th,itelf.Tirongarak*,20108 (1%),19200,0,852,6,46,4,0,0,0
39th,itelf.FuryRoad*,19858 (1%),18150,0,1574,27,104,3,0,0,0
