08/11/2017 16:05:20
Results for 10 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,sabattini.RobotMimi2*,4695 (13%),2700,180,1663,113,40,0,2,1,2
2nd,ipdf.MiSuperTheo*,4045 (12%),2550,180,1155,65,71,24,2,2,1
3rd,sabattini.RoboRot*,3776 (11%),2500,90,1098,27,61,0,1,2,0
4th,itelf.Homero*,3733 (11%),2450,0,1196,54,34,0,0,1,2
5th,ipdf.MakiuRobot*,3677 (10%),2250,180,1126,79,42,0,2,0,1
6th,ipdf.poly*,3625 (10%),2200,90,1260,38,37,0,1,2,2
7th,ipet260anexo.Roboteitor*,3351 (10%),2200,90,980,56,24,0,1,0,0
8th,ipdf.Pupi*,2969 (8%),2400,90,425,10,44,0,1,0,2
9th,ipdf.MagnumTech*,2661 (8%),1450,0,1153,36,23,0,0,1,0
10th,itelf.Rebol*,2587 (7%),1800,0,751,5,31,0,0,1,0
$
