08/11/2017 16:09:58
Results for 10 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,itelf.ElPicante*,5253 (15%),3100,360,1585,99,98,11,4,1,0
2nd,ipdf.CandyRobot*,4803 (13%),2800,90,1760,123,30,0,1,2,1
3rd,ipdf.MiRobot*,4728 (13%),3200,90,1283,44,106,6,1,1,4
4th,sabattini.AhllauHakbar*,4310 (12%),2650,0,1559,52,49,0,0,3,1
5th,ipdf.Billy*,3937 (11%),2400,270,1133,64,70,0,3,1,0
6th,ipdf.DASKAVZKCH*,3860 (11%),2300,0,1472,45,43,0,0,0,1
7th,ipdf.Kravcho*,3447 (10%),1900,90,1362,65,31,0,1,1,0
8th,sabattini.Robot3*,2266 (6%),1750,0,476,10,30,0,0,0,1
9th,itelf.Tirongarak*,1918 (5%),1050,0,840,8,20,0,0,0,1
10th,ipet260anexo.mirobot2*,1560 (4%),1250,0,130,3,172,5,0,1,1
$
