08/11/2017 16:14:01
Results for 10 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,ipdf.Grone*,5626 (16%),3150,450,1844,140,42,0,5,1,0
2nd,ipdf.SmasherDown*,4670 (13%),3100,90,1366,76,38,0,1,2,2
3rd,ipdf.rodriguito*,3973 (11%),2550,90,1214,58,41,20,1,2,0
4th,ipdf.agustinsita*,3896 (11%),2600,90,1141,50,14,0,1,2,1
5th,ipdf.Gringuema*,3254 (9%),2150,90,919,42,52,0,1,0,2
6th,ipdf.KevinhoSk*,3240 (9%),1850,0,1262,107,22,0,0,0,1
7th,ipdf.Benjaminsito*,2997 (8%),2050,0,909,19,19,0,0,2,1
8th,sabattini.Negro*,2884 (8%),1700,0,1075,29,58,22,0,0,1
9th,itelf.Tatobot*,2872 (8%),1600,0,1217,34,22,0,0,1,0
10th,ipet260anexo.Robex*,2446 (7%),1750,90,439,19,149,0,1,0,2
$
