08/11/2017 16:18:09
Results for 10 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,ipdf.leisi*,4292 (15%),2700,160,1335,31,47,20,2,2,2
2nd,sabattini.TheBot*,4142 (14%),2400,240,1386,82,34,0,3,1,0
3rd,itelf.KpoMasterGuild*,3928 (14%),2300,160,1291,93,40,45,2,1,2
4th,ipdf.TomiRobot*,3563 (12%),2400,160,905,50,48,0,2,0,3
5th,itelf.SamChispas*,3423 (12%),2200,0,1136,61,25,0,0,3,1
6th,sabattini.Moon*,3397 (12%),2050,0,1243,52,52,0,0,0,1
7th,sabattini.Dylan33*,2931 (10%),1550,80,1232,42,28,0,1,0,1
8th,ipdf.MiRobot1*,2322 (8%),1800,0,459,12,38,13,0,3,0
9th,ipet260anexo.Tadeo*,861 (3%),600,0,216,4,41,0,0,0,0
$
