08/11/2017 16:23:34
Results for 10 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,sabattini.Giane*,4853 (16%),3000,240,1476,92,44,0,3,4,0
2nd,ipdf.R2D2*,3925 (13%),2500,240,1075,73,37,0,3,1,1
3rd,sabattini.BadBuny*,3386 (11%),2250,0,1067,35,34,0,0,1,3
4th,ipdf.Guardian*,3361 (11%),1950,80,1206,80,44,0,1,1,2
5th,ipdf.RoVa*,3355 (11%),1950,80,1217,74,34,0,1,1,1
6th,itelf.FuryRoad*,3186 (11%),1850,80,1162,40,54,0,1,1,1
7th,sabattini.ReaterxDadv*,3178 (11%),1650,0,1356,65,97,10,0,1,0
8th,itelf.Picanbot*,3132 (11%),1950,80,1035,30,37,0,1,0,0
9th,ipet260anexo.RobotFacuTeku*,1108 (4%),900,0,181,0,28,0,0,0,2
$
