08/11/2017 16:28:20
Results for 10 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,ipdf.MiGranDemonio*,5220 (18%),2750,80,2091,180,92,26,1,3,1
2nd,itelf.Inheriav*,4290 (15%),2050,160,1910,134,36,0,2,0,1
3rd,sabattini.Agustiin2017*,3461 (12%),1900,80,1231,54,194,2,1,2,1
4th,itelf.Suipachenze*,3382 (12%),1800,80,1344,96,62,0,1,1,2
5th,ipdf.Titina*,3236 (11%),2350,240,580,11,55,0,3,0,1
6th,ipdf.KenzKIsHzV2*,3020 (10%),2050,0,910,29,31,0,0,3,0
7th,sabattini.Mili2017*,2741 (9%),1950,80,600,37,49,25,1,0,2
8th,ipdf.Jorgito*,2115 (7%),1700,80,106,8,221,0,1,0,1
9th,ipet260anexo.RodriRio*,1873 (6%),1450,0,382,2,38,0,0,1,1
$
