08/11/2017 16:32:14
Results for 10 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,sabattini.Mercury*,5241 (18%),2650,320,2065,166,40,0,4,2,0
2nd,sabattini.Robot_Santi*,4983 (17%),2700,320,1728,207,29,0,4,2,0
3rd,itelf.Wolf*,3868 (13%),2200,0,1562,72,35,0,0,2,4
4th,ipet260anexo.SoteloLeandro*,3341 (11%),2600,80,589,30,42,0,1,2,3
5th,itelf.Salchichon*,3164 (11%),2050,80,981,33,20,0,1,0,3
6th,ipdf.HeberBot*,2857 (10%),1850,0,930,39,29,10,0,1,0
8th,sabattini.AvanzadoEze*,2535 (8%),1450,0,972,53,60,0,0,0,0
8th,ipdf.Xhardez*,2535 (8%),1500,0,1001,15,19,0,0,1,0
9th,ipdf.Sangresita*,1348 (5%),950,0,358,3,37,0,0,0,0
$
