08/11/2017 16:37:30
Results for 10 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,sabattini.RobotOne*,4383 (15%),2550,240,1431,96,52,15,3,1,2
2nd,ipdf.Stone*,3728 (13%),2400,160,1078,44,46,0,2,3,0
3rd,itelf.Raj31*,3483 (12%),2300,80,985,31,66,20,1,1,2
4th,sabattini.HolaJorge*,3476 (12%),1750,80,1403,86,157,0,1,0,2
5th,ipet260anexo.Jyugo*,3389 (11%),1950,80,1172,70,118,0,1,2,0
6th,itelf.Dan*,3296 (11%),1950,80,998,54,184,31,1,1,2
7th,sabattini.Tankesito2*,3154 (11%),1800,80,1047,59,149,19,1,0,1
8th,ipdf.Siara*,2468 (8%),1800,0,628,10,30,0,0,1,1
9th,ipdf.sonrisa*,2262 (8%),1500,0,707,20,35,0,0,1,0
$
